bairro_origem,bairro_destino,logradouro,observacao,peso
Mustardinha,Bongi,Rua João Trajano da Silva,,1
Agua Fria,Linha Do Tiro,Rua Júlio José de Souza,,1
Tejipio,Jardim Sao Paulo,Rua Iraguaçu,,1
Cidade Universitaria,Iputinga,Rua Mauricéia,,1
Estancia,Jiquia,Rua Padre Roque,,1
Torroes,Cordeiro,Rua Daniel Lisboa,,1
Sancho,Curado,Rua Orfeu do Carnaval,,1
Alto Jose Bonifacio,Vasco Da Gama,Travessa do Sabino,,1
Afogados,Bongi,Estrada do Bongi Armando da Fonte,,1
Sao Jose,Santo Antonio,Avenida Dantas Barreto,,1
Tejipio,Sancho,Avenida Padre Ibiapina,,1
Morro Da Conceicao,Alto Jose Bonifacio,Rua Ipanema,,1
Peixinhos,Campina Do Barreto,Avenida Poeta Vinícius de Morais,,1
Morro Da Conceicao,Vasco Da Gama,Rua Itacoatiara,,1
Areias,Jiquia,Rua Parente Viana,,1
Coelhos,Boa Vista,Rua dos Coqueiros,,1
Prado,Zumbi,Rua Abdias de Oliveira,,1
Macaxeira,Nova Descoberta,Rua Dantas,,1
Fundao,Agua Fria,Rua Major Davino,,1
San Martin,Bongi,Avenida General San Martin,,1
Boa Viagem,Imbiribeira,Rua Adauto Carneiro Leal,,1
Ibura,Ipsep,Rua Alaíde de Sá Leitão,,1
Brejo De Beberibe,Brejo Da Guabiraba,Rua Coral,,1
Areias,Estancia,Avenida Estância,,1
Afogados,Mustardinha,Rua Adolfo Bezerra,,1
Parnamirim,Tamarineira,Rua Padre Roma,,1
Soledade,Santo Amaro,Rua Afonso Pena,,1
Boa Vista,Santo Amaro,Rua Conde D`Eu,,1
Nova Descoberta,Brejo De Beberibe,Rua Agrolândia,,1
Torre,Zumbi,Rua Diogo Álvares,,1
Agua Fria,Porto Da Madeira,Rua Ajapi,,1
Jardim Sao Paulo,Estancia,Rua Senador Alberto Pasqualini,,1
Tejipio,Coqueiral,Rua Alcântara,,1
Iputinga,Caxanga,Rua Alcides Codeceira,,1
Torreao,Campo Grande,Rua Djalma Farias,,1
Imbiribeira,Ipsep,Rua Alexandre Almeida,,1
Afogados,Mangueira,Rua Doutor João Figueira,,1
Torroes,Engenho Do Meio,Rua Alexandria,,1
Apipucos,Dois Irmaos,Rua Dois Irmãos,,1
Barro,Areias,Rua Capitão Alfredo Passos,,1
Campina Do Barreto,Cajueiro,Rua Hercília de Medeiros,,1
Nova Descoberta,Brejo Da Guabiraba,Rua Dom Feliciano,,1
Monteiro,Casa Amarela,Rua Altino,,1
Alto Jose Do Pinho,Morro Da Conceicao,Rua Alto Alegre,,1
Iputinga,Cordeiro,Rua Coronel Fernando Furtado,,1
Macaxeira,Corrego Do Jenipapo,Rua Alto do Formoso,,1
Fundao,Porto Da Madeira,Rua Pascoal Sivini,,1
Jardim Sao Paulo,Curado,Rua Coronel Fernando Machado,,1
Cidade Universitaria,Varzea,Rua Eduardo Dubeux,,1
Agua Fria,Beberibe,Rua Alto Longá,,1
Varzea,Iputinga,Rua Emiliano Braga,,1
Imbiribeira,Ibura,Avenida Presidente Dutra,,1
Barro,Tejipio,Avenida Doutor Joé Rufino,,1
Boa Viagem,Pina,Avenida Conselheiro Aguiar,,1
Jordao,Ibura,Rua Dr Álvaro Ferraz,,1
Poco,Casa Amarela,Rua Professor Álvaro Lima,,1
Engenho Do Meio,Iputinga,Rua Álvaro Teixeira de Mesquita,,1
Derby,Gracas,Rua Amaro Bezerra,,1
Toto,Curado,Rua Ana Albuquerque Lima,,1
Coqueiral,Toto,Rua Cintra,,1
Encruzilhada,Ponto De Parada,Rua dos Andradas,,1
Fundao,Cajueiro,Rua André Bezerra,,1
Cohab,Ibura,Rua Angatuba,,1
Jiquia,San Martin,Rua Santo Ângelo,,1
Gracas,Aflitos,Rua Angustura,,1
Porto Da Madeira,Beberibe,Rua do Anil,,1
Gracas,Jaqueira,Rua Antenor Navarro,,1
Hipodromo,Ponto De Parada,Rua Professora Antônia Ribeiro Campos,,1
Arruda,Agua Fria,Rua Antônio Ferreira,,1
Bomba Do Hemeterio,Agua Fria,Rua Antônio Meira,,1
Madalena,Prado,Rua Antônio de Sá,,1
Mustardinha,San Martin,Rua Araguaia,,1
Pina,Brasilia Teimosa,Rua Araguari,,1
Cajueiro,Porto Da Madeira,Rua Arão Botler,,1
Vasco Da Gama,Nova Descoberta,Rua Arapiraca,,1
Poco,Casa Forte,Rua dos Arcos,,1
Mangabeira,Alto Jose Do Pinho,Rua Aripibu,,1
Campina Do Barreto,Fundao,Rua Assaí,,1
Nova Descoberta,Corrego Do Jenipapo,Rua Assaituba,,1
Dois Irmaos,Brejo Da Guabiraba,Avenida Embaixador Assis Chateaubriand,,1
Boa Viagem,Ibura,Rua Professor Aurélio de Castro Cavalcanti,,1
Cacote,Areias,Rua Aurora Caçote,,1
Jaqueira,Parnamirim,Rua Professora Aurora Soares,,1
Engenho Do Meio,Cidade Universitaria,Rua Engenheiro Barros Lins,,1
Afogados,Jiquia,Rua Belém de Maria,,1
Paissandu,Ilha Do Leite,Rua Estado de Israel,,1
Arruda,Bomba Do Hemeterio,Rua São Bento,,1
Ilha Do Retiro,Madalena,Rua Comendador Bento Aguiar,,1
Jordao,Cohab,Avenida Ministro Apolônio Sáles,,1
