bairro,grau
Aflitos,2
Afogados,5
Agua Fria,8
Alto Do Mandu,4
Alto Jose Bonifacio,3
Alto Jose Do Pinho,6
Alto Santa Teresinha,3
Apipucos,5
Areias,5
Arruda,5
Barro,3
Beberibe,4
Boa Viagem,4
Boa Vista,7
Bomba Do Hemeterio,3
Bongi,3
Brasilia Teimosa,1
Brejo Da Guabiraba,5
Brejo De Beberibe,4
Cabanga,2
Cacote,1
Cajueiro,3
Campina Do Barreto,5
Campo Grande,6
Casa Amarela,9
Casa Forte,4
Caxanga,3
Cidade Universitaria,3
Coelhos,5
Cohab,3
Coqueiral,3
Cordeiro,5
Corrego Do Jenipapo,3
Curado,5
Derby,1
Dois Irmaos,4
Dois Unidos,2
Encruzilhada,5
Engenho Do Meio,3
Espinheiro,3
Estancia,3
Fundao,4
Gracas,5
Guabiraba,1
Hipodromo,3
Ibura,5
Ilha Do Leite,3
Ilha Do Retiro,3
Ilha Joana Bezerra,3
Imbiribeira,4
Ipsep,2
Iputinga,5
Jaqueira,4
Jardim Sao Paulo,4
Jiquia,5
Jordao,3
Linha Do Tiro,3
Macaxeira,4
Madalena,4
Mangabeira,1
Mangueira,4
Monteiro,4
Morro Da Conceicao,4
Mustardinha,4
Nova Descoberta,5
Paissandu,4
Parnamirim,5
Passarinho,2
Pau-Ferro,0
Peixinhos,3
Pina,4
Poco,4
Ponto De Parada,4
Porto Da Madeira,4
Prado,4
Recife,3
Rosarinho,2
San Martin,5
Sancho,4
Santana,4
Santo Amaro,5
Santo Antonio,6
Sao Jose,6
Sitio Dos Pintos,1
Soledade,3
Tamarineira,5
Tejipio,4
Torre,3
Torreao,3
Torroes,2
Toto,3
Varzea,4
Vasco Da Gama,5
Zumbi,4
