bairro,grau
Aflitos,25
Afogados,21
Agua Fria,24
Alto Do Mandu,8
Alto Jose Bonifacio,21
Alto Jose Do Pinho,4
Alto Santa Teresinha,8
Apipucos,8
Areias,20
Arruda,32
Barro,23
Beberibe,24
Boa Viagem,21
Boa Vista,23
Bomba Do Hemeterio,8
Bongi,4
Brasilia Teimosa,4
Brejo Da Guabiraba,24
Brejo De Beberibe,7
Cabanga,6
Cacote,3
Cajueiro,8
Campina Do Barreto,15
Campo Grande,15
Casa Amarela,8
Casa Forte,8
Caxanga,19
Cidade Universitaria,2
Coelhos,18
Cohab,17
Coqueiral,6
Cordeiro,22
Corrego Do Jenipapo,7
Curado,6
Derby,8
Dois Irmaos,8
Dois Unidos,8
Encruzilhada,15
Engenho Do Meio,18
Espinheiro,8
Estancia,3
Fundao,8
Gracas,8
Guabiraba,7
Hipodromo,15
Ibura,18
Ilha Do Leite,6
Ilha Do Retiro,5
Ilha Joana Bezerra,1
Imbiribeira,4
Ipsep,4
Iputinga,5
Jaqueira,15
Jardim Sao Paulo,6
Jiquia,3
Jordao,1
Linha Do Tiro,8
Macaxeira,7
Madalena,5
Mangabeira,4
Mangueira,4
Monteiro,15
Morro Da Conceicao,4
Mustardinha,4
Nova Descoberta,7
Paissandu,6
Parnamirim,15
Passarinho,7
Pau-Ferro,7
Peixinhos,15
Pina,4
Poco,15
Ponto De Parada,15
Porto Da Madeira,8
Prado,5
Recife,18
Rosarinho,15
San Martin,4
Sancho,6
Santana,15
Santo Amaro,1
Santo Antonio,6
Sao Jose,6
Sitio Dos Pintos,15
Soledade,6
Tamarineira,15
Tejipio,6
Torre,5
Torreao,15
Torroes,1
Toto,6
Varzea,2
Vasco Da Gama,4
Zumbi,0
bairro_origem,1
bairro_destino,1
